step,prompt,category,avg_good_prob,avg_bad_prob,log_ratio,correct,timestamp
1000,2 + 2 =,arithmetic,0.000000,0.000000,-5.2652,False,2025-12-24T16:04:12.884790
1000,5 + 3 =,arithmetic,0.000000,0.000000,1.6914,True,2025-12-24T16:04:12.884795
1000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T16:04:12.884799
1000,Le soleil se lève à l',knowledge,0.999672,0.000000,23.0255,True,2025-12-24T16:04:12.884803
1000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T16:04:12.884808
1000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:04:12.884811
1000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:04:12.884815
1000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T16:04:12.884819
2000,2 + 2 =,arithmetic,0.000040,0.000002,3.0206,True,2025-12-24T16:09:19.240151
2000,5 + 3 =,arithmetic,0.000048,0.000042,0.1386,False,2025-12-24T16:09:19.240156
2000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T16:09:19.240159
2000,Le soleil se lève à l',knowledge,0.534441,0.000000,22.3993,True,2025-12-24T16:09:19.240163
2000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T16:09:19.240168
2000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:09:19.240171
2000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:09:19.240175
2000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T16:09:19.240179
3000,2 + 2 =,arithmetic,0.000127,0.001701,-2.5971,False,2025-12-24T16:23:31.228296
3000,5 + 3 =,arithmetic,0.000893,0.001271,-0.3529,False,2025-12-24T16:23:31.228303
3000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T16:23:31.228309
3000,Le soleil se lève à l',knowledge,0.000926,0.000000,12.3086,True,2025-12-24T16:23:31.228313
3000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:23:31.228317
3000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:23:31.228320
3000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:23:31.228324
3000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:23:31.228328
4000,2 + 2 =,arithmetic,0.000345,0.008906,-3.2501,False,2025-12-24T16:40:29.017543
4000,5 + 3 =,arithmetic,0.000027,0.000162,-1.7768,False,2025-12-24T16:40:29.017547
4000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T16:40:29.017551
4000,Le soleil se lève à l',knowledge,0.000000,0.000000,0.0033,True,2025-12-24T16:40:29.017555
4000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:40:29.017559
4000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:40:29.017563
4000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:40:29.017566
4000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T16:40:29.017570
5000,2 + 2 =,arithmetic,0.000007,0.000734,-4.6653,False,2025-12-24T16:57:27.120316
5000,5 + 3 =,arithmetic,0.000000,0.000000,1.0934,True,2025-12-24T16:57:27.120320
5000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T16:57:27.120324
5000,Le soleil se lève à l',knowledge,0.000000,0.000000,0.0012,True,2025-12-24T16:57:27.120329
5000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T16:57:27.120333
5000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T16:57:27.120337
5000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T16:57:27.120341
5000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T16:57:27.120345
6000,2 + 2 =,arithmetic,0.000016,0.000002,1.9552,True,2025-12-24T17:14:24.829102
6000,5 + 3 =,arithmetic,0.000000,0.000000,-1.4004,False,2025-12-24T17:14:24.829107
6000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T17:14:24.829111
6000,Le soleil se lève à l',knowledge,0.000000,0.000000,0.0004,True,2025-12-24T17:14:24.829115
6000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T17:14:24.829119
6000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T17:14:24.829122
6000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T17:14:24.829125
6000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T17:14:24.829129
7000,2 + 2 =,arithmetic,0.000001,0.000002,-0.0662,False,2025-12-24T17:31:22.334327
7000,5 + 3 =,arithmetic,0.000000,0.000000,-1.2160,False,2025-12-24T17:31:22.334331
7000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T17:31:22.334335
7000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0001,False,2025-12-24T17:31:22.334339
7000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T17:31:22.334343
7000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T17:31:22.334346
7000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T17:31:22.334350
7000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T17:31:22.334354
8000,2 + 2 =,arithmetic,0.000018,0.000002,2.0140,True,2025-12-24T17:48:19.792759
8000,5 + 3 =,arithmetic,0.000000,0.000000,-3.7476,False,2025-12-24T17:48:19.792764
8000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T17:48:19.792767
8000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T17:48:19.792771
8000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T17:48:19.792776
8000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T17:48:19.792779
8000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T17:48:19.792783
8000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T17:48:19.792787
9000,2 + 2 =,arithmetic,0.004085,0.000001,8.0531,True,2025-12-24T18:05:17.209465
9000,5 + 3 =,arithmetic,0.000000,0.000000,0.6161,False,2025-12-24T18:05:17.209471
9000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T18:05:17.209474
9000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0039,False,2025-12-24T18:05:17.209478
9000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T18:05:17.209483
9000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T18:05:17.209486
9000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.4124,False,2025-12-24T18:05:17.209490
9000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T18:05:17.209494
10000,2 + 2 =,arithmetic,0.000031,0.000423,-2.6281,False,2025-12-24T18:22:14.410090
10000,5 + 3 =,arithmetic,0.000000,0.000000,1.5889,True,2025-12-24T18:22:14.410096
10000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T18:22:14.410099
10000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T18:22:14.410103
10000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T18:22:14.410108
10000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T18:22:14.410112
10000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T18:22:14.410115
10000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,True,2025-12-24T18:22:14.410119
11000,2 + 2 =,arithmetic,0.000013,0.000000,4.6331,True,2025-12-24T18:39:11.318062
11000,5 + 3 =,arithmetic,0.000000,0.000000,-4.0916,False,2025-12-24T18:39:11.318067
11000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T18:39:11.318070
11000,Le soleil se lève à l',knowledge,0.000000,0.000000,-7.6587,False,2025-12-24T18:39:11.318074
11000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T18:39:11.318078
11000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T18:39:11.318082
11000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T18:39:11.318086
11000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T18:39:11.318090
12000,2 + 2 =,arithmetic,0.000000,0.000011,-6.3943,False,2025-12-24T18:56:09.033121
12000,5 + 3 =,arithmetic,0.000000,0.000000,0.0046,False,2025-12-24T18:56:09.033126
12000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T18:56:09.033130
12000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0083,False,2025-12-24T18:56:09.033134
12000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T18:56:09.033138
12000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T18:56:09.033142
12000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T18:56:09.033145
12000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T18:56:09.033149
13000,2 + 2 =,arithmetic,0.000012,0.000053,-1.4571,False,2025-12-24T19:13:08.272012
13000,5 + 3 =,arithmetic,0.000000,0.000000,-1.6410,False,2025-12-24T19:13:08.272017
13000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T19:13:08.272021
13000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T19:13:08.272025
13000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T19:13:08.272029
13000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T19:13:08.272032
13000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T19:13:08.272036
13000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T19:13:08.272040
14000,2 + 2 =,arithmetic,0.000020,0.000301,-2.6961,False,2025-12-24T19:33:30.144985
14000,5 + 3 =,arithmetic,0.000000,0.000002,-7.3280,False,2025-12-24T19:33:30.144990
14000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T19:33:30.144993
14000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0011,False,2025-12-24T19:33:30.144997
14000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T19:33:30.145001
14000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T19:33:30.145005
14000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T19:33:30.145009
14000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0987,False,2025-12-24T19:33:30.145013
15000,2 + 2 =,arithmetic,0.000015,0.000884,-4.0782,False,2025-12-24T19:50:40.869489
15000,5 + 3 =,arithmetic,0.000000,0.000000,-1.2571,False,2025-12-24T19:50:40.869495
15000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T19:50:40.869498
15000,Le soleil se lève à l',knowledge,0.000000,0.000002,-9.2940,False,2025-12-24T19:50:40.869502
15000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T19:50:40.869506
15000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T19:50:40.869510
15000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T19:50:40.869513
15000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T19:50:40.869517
16000,2 + 2 =,arithmetic,0.000010,0.014168,-7.2379,False,2025-12-24T20:07:37.658528
16000,5 + 3 =,arithmetic,0.000000,0.000000,-3.5552,False,2025-12-24T20:07:37.658532
16000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T20:07:37.658536
16000,Le soleil se lève à l',knowledge,0.000000,0.000000,-5.6476,False,2025-12-24T20:07:37.658540
16000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T20:07:37.658544
16000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T20:07:37.658548
16000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T20:07:37.658551
16000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T20:07:37.658555
17000,2 + 2 =,arithmetic,0.000001,0.006397,-8.6757,False,2025-12-24T20:24:35.055241
17000,5 + 3 =,arithmetic,0.000000,0.000000,-4.9789,False,2025-12-24T20:24:35.055246
17000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T20:24:35.055250
17000,Le soleil se lève à l',knowledge,0.000000,0.000014,-11.8525,False,2025-12-24T20:24:35.055254
17000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T20:24:35.055258
17000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T20:24:35.055262
17000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T20:24:35.055265
17000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T20:24:35.055269
18000,2 + 2 =,arithmetic,0.000007,0.001475,-5.2879,False,2025-12-24T20:41:31.537330
18000,5 + 3 =,arithmetic,0.000000,0.000000,-0.8687,False,2025-12-24T20:41:31.537335
18000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T20:41:31.537339
18000,Le soleil se lève à l',knowledge,0.000000,0.000001,-9.5553,False,2025-12-24T20:41:31.537343
18000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T20:41:31.537347
18000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T20:41:31.537350
18000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T20:41:31.537354
18000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-5.1608,False,2025-12-24T20:41:31.537358
19000,2 + 2 =,arithmetic,0.000000,0.000043,-5.1561,False,2025-12-24T20:58:27.722711
19000,5 + 3 =,arithmetic,0.000000,0.000000,-4.2024,False,2025-12-24T20:58:27.722715
19000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T20:58:27.722719
19000,Le soleil se lève à l',knowledge,0.000000,0.000000,-2.6112,False,2025-12-24T20:58:27.722723
19000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T20:58:27.722727
19000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T20:58:27.722731
19000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T20:58:27.722734
19000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T20:58:27.722739
20000,2 + 2 =,arithmetic,0.000000,0.000000,-0.9135,False,2025-12-24T21:15:24.302892
20000,5 + 3 =,arithmetic,0.000000,0.000000,-2.1881,False,2025-12-24T21:15:24.302897
20000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T21:15:24.302901
20000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.4236,False,2025-12-24T21:15:24.302904
20000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T21:15:24.302909
20000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T21:15:24.302912
20000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T21:15:24.302915
20000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T21:15:24.302919
21000,2 + 2 =,arithmetic,0.000000,0.000020,-4.2844,False,2025-12-24T21:32:20.381915
21000,5 + 3 =,arithmetic,0.000000,0.000000,-0.7840,False,2025-12-24T21:32:20.381920
21000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T21:32:20.381923
21000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T21:32:20.381927
21000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T21:32:20.381931
21000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T21:32:20.381934
21000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T21:32:20.381938
21000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T21:32:20.381942
22000,2 + 2 =,arithmetic,0.000000,0.000009,-8.9562,False,2025-12-24T21:49:17.144484
22000,5 + 3 =,arithmetic,0.000000,0.000000,-0.4757,False,2025-12-24T21:49:17.144489
22000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T21:49:17.144493
22000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0974,False,2025-12-24T21:49:17.144497
22000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T21:49:17.144501
22000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T21:49:17.144504
22000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T21:49:17.144508
22000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T21:49:17.144512
23000,2 + 2 =,arithmetic,0.000003,0.000006,-0.4954,False,2025-12-24T22:06:13.015631
23000,5 + 3 =,arithmetic,0.000000,0.000005,-3.7919,False,2025-12-24T22:06:13.015636
23000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T22:06:13.015640
23000,Le soleil se lève à l',knowledge,0.000000,0.000000,-2.8283,False,2025-12-24T22:06:13.015644
23000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T22:06:13.015649
23000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T22:06:13.015652
23000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T22:06:13.015656
23000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.6779,False,2025-12-24T22:06:13.015659
24000,2 + 2 =,arithmetic,0.000010,0.009157,-6.8521,False,2025-12-24T22:23:08.265848
24000,5 + 3 =,arithmetic,0.000000,0.000000,-2.7330,False,2025-12-24T22:23:08.265852
24000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T22:23:08.265856
24000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.1254,False,2025-12-24T22:23:08.265860
24000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T22:23:08.265864
24000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T22:23:08.265868
24000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T22:23:08.265872
24000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T22:23:08.265876
25000,2 + 2 =,arithmetic,0.000000,0.000004,-7.1984,False,2025-12-24T22:40:03.646915
25000,5 + 3 =,arithmetic,0.000000,0.000000,-0.2716,False,2025-12-24T22:40:03.646920
25000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T22:40:03.646923
25000,Le soleil se lève à l',knowledge,0.000000,0.000000,-2.9561,False,2025-12-24T22:40:03.646927
25000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T22:40:03.646931
25000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T22:40:03.646935
25000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0000,False,2025-12-24T22:40:03.646938
25000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T22:40:03.646942
26000,2 + 2 =,arithmetic,0.000011,0.192373,-9.8033,False,2025-12-24T22:56:58.775569
26000,5 + 3 =,arithmetic,0.000000,0.000003,-7.7349,False,2025-12-24T22:56:58.775574
26000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T22:56:58.775577
26000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T22:56:58.775581
26000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T22:56:58.775586
26000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T22:56:58.775589
26000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0545,False,2025-12-24T22:56:58.775592
26000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0011,False,2025-12-24T22:56:58.775596
27000,2 + 2 =,arithmetic,0.000015,0.002793,-5.1961,False,2025-12-24T23:13:53.904129
27000,5 + 3 =,arithmetic,0.000000,0.000001,-8.7696,False,2025-12-24T23:13:53.904133
27000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T23:13:53.904137
27000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0006,False,2025-12-24T23:13:53.904141
27000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T23:13:53.904145
27000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T23:13:53.904148
27000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T23:13:53.904153
27000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0001,False,2025-12-24T23:13:53.904157
28000,2 + 2 =,arithmetic,0.000000,0.001378,-9.7793,False,2025-12-24T23:30:47.966596
28000,5 + 3 =,arithmetic,0.000000,0.000000,-1.1614,False,2025-12-24T23:30:47.966601
28000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T23:30:47.966605
28000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T23:30:47.966609
28000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T23:30:47.966613
28000,Le contraire de grand est,semantic,0.000000,0.000000,0.0000,True,2025-12-24T23:30:47.966623
28000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,0.0006,False,2025-12-24T23:30:47.966626
28000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0000,False,2025-12-24T23:30:47.966630
29000,2 + 2 =,arithmetic,0.000002,0.002760,-7.3906,False,2025-12-24T23:47:41.786626
29000,5 + 3 =,arithmetic,0.000000,0.000000,-5.9930,False,2025-12-24T23:47:41.786631
29000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-24T23:47:41.786635
29000,Le soleil se lève à l',knowledge,0.000000,0.000000,-0.0000,False,2025-12-24T23:47:41.786638
29000,Le contraire de chaud est,semantic,0.000000,0.000000,0.0000,False,2025-12-24T23:47:41.786643
29000,Le contraire de grand est,semantic,0.000000,0.000000,-0.0000,False,2025-12-24T23:47:41.786646
29000,Chien est à chiot comme chat est à,analogy,0.000000,0.000000,1.0925,False,2025-12-24T23:47:41.786650
29000,Roi est à reine comme homme est à,analogy,0.000000,0.000000,-0.0001,False,2025-12-24T23:47:41.786654
30000,2 + 2 =,arithmetic,0.000000,0.000033,-7.6901,False,2025-12-25T00:04:35.736714
30000,5 + 3 =,arithmetic,0.000000,0.000000,-4.8991,False,2025-12-25T00:04:35.736719
30000,La capitale de la France est,knowledge,0.000000,0.000000,0.0000,True,2025-12-25T00:04:35.736722
30000,Le soleil se lève à l',knowledge,0.000000,0.000000,-1.3658,False,2025-12-25T00:04:35.736726
